session_id,actor_type,bot_type,event_type,x,y,timestamp
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187054
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187056
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187058
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187060
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,mousemove,264,644,1774697187215
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,click,264,644,1774697187216
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,scroll,121.5999984741211,,1774697187295
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,click,264,608,1774697187398
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,scroll,271.20001220703125,,1774697187401
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,mousemove,264,556,1774697187570
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,click,264,556,1774697187572
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,focus_change,,,1774697187648
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,page_screen_change,,,1774697187681
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,mousemove,90,643,1774697188305
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,scroll,298.3999938964844,,1774697188311
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,click,90,643,1774697188307
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,click,436,358,1774697188440
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,mousemove,787,372,1774697188595
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,click,787,372,1774697188596
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,focus_change,,,1774697188666
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,page_screen_change,,,1774697188714
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189326
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189328
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189333
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189336
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189339
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189341
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189344
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189344
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189347
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189349
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,scroll,389.6000061035156,,1774697189473
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189486
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189488
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189492
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189495
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189500
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189503
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189505
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189507
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189510
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189513
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189517
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189521
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189523
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189524
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189527
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189530
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189702
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189703
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189704
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697189706
